1786070634| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070635| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070636| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070637| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070638| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070639| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070640| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070641| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070642| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070643| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070644| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070645| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070646| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070648| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070649| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070650| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070651| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070652| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070653| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070654| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070655| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070656| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070657| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070658| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070659| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070660| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070661| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070662| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070663| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070664| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070665| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070666| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070668| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070669| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070670| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070671| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070672| level: 89| voltage: 4249| temperature: 286| current now: -2141406| charge counter: 4452200|
1786070673| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070674| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070675| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070676| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070677| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
1786070678| level: 89| voltage: 4281| temperature: 302| current now: -173437| charge counter: 4422650|
