
"(PDH-CSV 4.0)","\\QCWORKSHOP4\Processor(_Total)\% Processor Time"
"08/06/2026 20:32:25.015","88.228960"
"08/06/2026 20:32:26.023","88.622839"
"08/06/2026 20:32:27.038","82.681640"
"08/06/2026 20:32:28.043","80.189700"
"08/06/2026 20:32:29.051","79.968201"
"08/06/2026 20:32:30.061","80.152325"
"08/06/2026 20:32:31.061","50.394534"
"08/06/2026 20:32:32.072","7.652162"
"08/06/2026 20:32:33.087","52.421803"
"08/06/2026 20:32:34.092","80.165884"
"08/06/2026 20:32:35.092","81.911564"
"08/06/2026 20:32:36.109","79.626958"
"08/06/2026 20:32:37.112","55.217921"
"08/06/2026 20:32:38.126","80.354503"
"08/06/2026 20:32:39.134","80.379361"
"08/06/2026 20:32:40.135","79.969009"
"08/06/2026 20:32:41.136","83.999372"
"08/06/2026 20:32:42.151","83.319713"
"08/06/2026 20:32:43.153","79.068155"
"08/06/2026 20:32:44.160","80.871246"
"08/06/2026 20:32:45.167","79.563437"
"08/06/2026 20:32:46.173","80.722900"
"08/06/2026 20:32:47.181","79.704844"
"08/06/2026 20:32:48.187","82.918382"
"08/06/2026 20:32:49.191","81.356127"
"08/06/2026 20:32:50.195","82.083160"
"08/06/2026 20:32:51.197","82.455019"
"08/06/2026 20:32:52.205","81.784019"
"08/06/2026 20:32:53.207","81.566384"
"08/06/2026 20:32:54.210","82.205052"
"08/06/2026 20:32:55.217","82.137679"
"08/06/2026 20:32:56.221","82.625129"
"08/06/2026 20:32:57.227","62.782182"
"08/06/2026 20:32:58.231","74.292864"
"08/06/2026 20:32:59.246","82.541789"
"08/06/2026 20:33:00.250","83.790661"
"08/06/2026 20:33:01.256","81.633875"
"08/06/2026 20:33:02.262","82.127675"
"08/06/2026 20:33:03.269","82.943875"
"08/06/2026 20:33:04.273","80.922657"
"08/06/2026 20:33:05.274","89.860252"
"08/06/2026 20:33:06.280","89.386150"
"08/06/2026 20:33:07.286","82.520477"
"08/06/2026 20:33:08.295","81.411650"
"08/06/2026 20:33:09.299","80.291090"
"08/06/2026 20:33:10.305","79.289216"
"08/06/2026 20:33:11.311","81.877857"
"08/06/2026 20:33:12.323","79.799646"
"08/06/2026 20:33:13.325","81.690024"
"08/06/2026 20:33:14.329","80.271351"
"08/06/2026 20:33:15.335","80.590855"
"08/06/2026 20:33:16.343","81.005257"
"08/06/2026 20:33:17.350","80.359382"
"08/06/2026 20:33:18.355","81.207427"
"08/06/2026 20:33:19.355","80.868429"
"08/06/2026 20:33:20.362","81.109329"
"08/06/2026 20:33:21.364","80.258219"
"08/06/2026 20:33:22.368","53.924730"
"08/06/2026 20:33:23.372","80.172090"
"08/06/2026 20:33:24.378","64.770683"
"08/06/2026 20:33:25.383","69.044115"
"08/06/2026 20:33:26.387","55.251324"
"08/06/2026 20:33:27.395","74.816105"
"08/06/2026 20:33:28.401","69.856471"
"08/06/2026 20:33:29.416","66.510626"
"08/06/2026 20:33:30.423","63.658167"
"08/06/2026 20:33:31.430","68.205372"
"08/06/2026 20:33:32.436","41.500826"
"08/06/2026 20:33:33.445","5.170537"
"08/06/2026 20:33:34.464","4.547232"
"08/06/2026 20:33:35.481","7.711717"
"08/06/2026 20:33:36.484","6.138332"
"08/06/2026 20:33:37.499","3.394708"
"08/06/2026 20:33:38.501","4.860964"
"08/06/2026 20:33:39.513","5.216708"
"08/06/2026 20:33:40.527","5.095226"
"08/06/2026 20:33:41.534","4.667414"
"08/06/2026 20:33:42.538","4.275568"
"08/06/2026 20:33:43.544","6.399632"
"08/06/2026 20:33:44.549","2.923764"
"08/06/2026 20:33:45.562","6.972629"
"08/06/2026 20:33:46.573","3.551726"
"08/06/2026 20:33:47.587","6.077854"
"08/06/2026 20:33:48.594","6.466738"
"08/06/2026 20:33:49.606","5.884238"
"08/06/2026 20:33:50.623","4.468788"
"08/06/2026 20:33:51.626","5.991959"
"08/06/2026 20:33:52.629","4.797428"
"08/06/2026 20:33:53.642","3.905301"
"08/06/2026 20:33:54.657","2.422439"
"08/06/2026 20:33:55.674","3.705470"
"08/06/2026 20:33:56.688","4.264756"
"08/06/2026 20:33:57.705","5.287510"
"08/06/2026 20:33:58.717","4.011755"
"08/06/2026 20:33:59.724","4.907110"
"08/06/2026 20:34:00.736","4.998857"
"08/06/2026 20:34:01.752","3.922643"
"08/06/2026 20:34:02.766","3.483999"
"08/06/2026 20:34:03.775","2.446572"
"08/06/2026 20:34:04.793","6.921572"
"08/06/2026 20:34:05.810","3.447104"
"08/06/2026 20:34:06.827","7.477451"
"08/06/2026 20:34:07.834","7.192526"
"08/06/2026 20:34:08.854","4.415351"
"08/06/2026 20:34:09.857","5.566032"
"08/06/2026 20:34:10.871","4.228150"
"08/06/2026 20:34:11.887","4.790192"
"08/06/2026 20:34:12.896","4.673652"
"08/06/2026 20:34:13.900","4.392437"
"08/06/2026 20:34:14.910","7.809012"
"08/06/2026 20:34:15.915","6.418380"
"08/06/2026 20:34:16.916","7.874546"
"08/06/2026 20:34:17.930","8.453709"
"08/06/2026 20:34:18.946","10.566656"
"08/06/2026 20:34:19.961","10.169238"
"08/06/2026 20:34:20.978","7.140511"
"08/06/2026 20:34:21.992","5.392693"
"08/06/2026 20:34:23.000","6.054285"
"08/06/2026 20:34:24.006","4.024168"
"08/06/2026 20:34:25.021","5.268554"
"08/06/2026 20:34:26.035","4.806844"
"08/06/2026 20:34:27.039","4.077486"
"08/06/2026 20:34:28.046","5.271834"
"08/06/2026 20:34:29.058","15.330169"
"08/06/2026 20:34:30.065","34.176562"
"08/06/2026 20:34:31.078","37.375399"
"08/06/2026 20:34:32.086","34.826844"
"08/06/2026 20:34:33.110","33.955321"
"08/06/2026 20:34:34.116","31.310516"
"08/06/2026 20:34:35.129","34.027431"
"08/06/2026 20:34:36.145","29.405794"
"08/06/2026 20:34:37.155","32.207382"
"08/06/2026 20:34:38.158","32.843352"
"08/06/2026 20:34:39.164","32.313716"
"08/06/2026 20:34:40.186","33.781085"
"08/06/2026 20:34:41.192","31.291099"
"08/06/2026 20:34:42.203","29.941361"
"08/06/2026 20:34:43.212","36.197843"
"08/06/2026 20:34:44.222","29.255214"
"08/06/2026 20:34:45.227","26.662322"
"08/06/2026 20:34:46.239","24.187910"
"08/06/2026 20:34:47.240","26.127219"
"08/06/2026 20:34:48.242","25.743195"
"08/06/2026 20:34:49.245","26.967478"
"08/06/2026 20:34:50.245","26.617574"
"08/06/2026 20:34:51.249","24.979378"
"08/06/2026 20:34:52.255","27.933876"
"08/06/2026 20:34:53.259","36.206574"
"08/06/2026 20:34:54.264","26.505647"
"08/06/2026 20:34:55.274","22.595542"
"08/06/2026 20:34:56.291","26.172740"
"08/06/2026 20:34:57.300","27.253137"
"08/06/2026 20:34:58.309","25.584419"
"08/06/2026 20:34:59.356","26.931899"
"08/06/2026 20:35:00.363","21.456830"
"08/06/2026 20:35:01.370","24.962365"
"08/06/2026 20:35:02.423","28.187762"
"08/06/2026 20:35:03.440","24.141490"
"08/06/2026 20:35:04.505","22.634835"
"08/06/2026 20:35:05.534","24.952849"
"08/06/2026 20:35:06.535","22.989145"
"08/06/2026 20:35:07.539","26.584290"
"08/06/2026 20:35:08.545","26.010493"
"08/06/2026 20:35:09.549","27.417040"
"08/06/2026 20:35:10.557","22.800711"
"08/06/2026 20:35:11.558","25.521779"
"08/06/2026 20:35:12.565","28.079997"
"08/06/2026 20:35:13.571","22.621319"
"08/06/2026 20:35:14.582","23.820262"
"08/06/2026 20:35:15.585","25.024646"
"08/06/2026 20:35:16.589","27.365833"
"08/06/2026 20:35:17.594","22.144841"
"08/06/2026 20:35:18.603","25.757264"
"08/06/2026 20:35:19.612","26.208727"
"08/06/2026 20:35:20.614","27.582384"
