
"(PDH-CSV 4.0)","\\QCWORKSHOP4\Processor(_Total)\% Processor Time"
"08/06/2026 20:26:20.085","23.127214"
"08/06/2026 20:26:21.087","18.713670"
"08/06/2026 20:26:22.089","35.518409"
"08/06/2026 20:26:23.094","25.760528"
"08/06/2026 20:26:24.103","77.544738"
"08/06/2026 20:26:25.112","79.487812"
"08/06/2026 20:26:26.121","79.347554"
"08/06/2026 20:26:27.125","83.262753"
"08/06/2026 20:26:28.132","80.610189"
"08/06/2026 20:26:29.139","80.215791"
"08/06/2026 20:26:30.145","71.355401"
"08/06/2026 20:26:31.157","5.869029"
"08/06/2026 20:26:32.161","5.508500"
"08/06/2026 20:26:33.178","7.484705"
"08/06/2026 20:26:34.184","6.506837"
"08/06/2026 20:26:35.188","3.410617"
"08/06/2026 20:26:36.205","5.856406"
"08/06/2026 20:26:37.215","3.002546"
"08/06/2026 20:26:38.219","3.967062"
"08/06/2026 20:26:39.230","2.719323"
"08/06/2026 20:26:40.250","3.094015"
"08/06/2026 20:26:41.269","6.523628"
"08/06/2026 20:26:42.282","2.566176"
"08/06/2026 20:26:43.292","5.826990"
"08/06/2026 20:26:44.305","3.655300"
"08/06/2026 20:26:45.319","5.343748"
"08/06/2026 20:26:46.332","4.774304"
"08/06/2026 20:26:47.333","3.619316"
"08/06/2026 20:26:48.335","5.882065"
"08/06/2026 20:26:49.339","4.820415"
"08/06/2026 20:26:50.343","4.067043"
"08/06/2026 20:26:51.350","3.512513"
"08/06/2026 20:26:52.359","5.917050"
"08/06/2026 20:26:53.363","3.314949"
"08/06/2026 20:26:54.371","4.543688"
"08/06/2026 20:26:55.383","3.958113"
"08/06/2026 20:26:56.387","3.759679"
"08/06/2026 20:26:57.388","2.174899"
"08/06/2026 20:26:58.395","7.183320"
"08/06/2026 20:26:59.403","4.245357"
"08/06/2026 20:27:00.406","3.272543"
"08/06/2026 20:27:01.420","3.971240"
"08/06/2026 20:27:02.435","2.637879"
"08/06/2026 20:27:03.443","4.994599"
"08/06/2026 20:27:04.459","4.472176"
"08/06/2026 20:27:05.476","5.584840"
"08/06/2026 20:27:06.484","4.485607"
"08/06/2026 20:27:07.497","6.347791"
"08/06/2026 20:27:08.513","3.036710"
"08/06/2026 20:27:09.522","12.483400"
"08/06/2026 20:27:10.534","11.627997"
"08/06/2026 20:27:11.547","10.911336"
"08/06/2026 20:27:12.556","3.711448"
"08/06/2026 20:27:13.556","4.237295"
"08/06/2026 20:27:14.557","4.688210"
"08/06/2026 20:27:15.567","4.640588"
"08/06/2026 20:27:16.573","4.096420"
"08/06/2026 20:27:17.582","4.553679"
"08/06/2026 20:27:18.586","4.085789"
"08/06/2026 20:27:19.591","6.084270"
"08/06/2026 20:27:20.604","6.382823"
"08/06/2026 20:27:21.619","3.216124"
"08/06/2026 20:27:22.620","5.540099"
"08/06/2026 20:27:23.630","4.002846"
"08/06/2026 20:27:24.634","5.029962"
"08/06/2026 20:27:25.645","3.519042"
"08/06/2026 20:27:26.660","4.195392"
"08/06/2026 20:27:27.661","5.466680"
"08/06/2026 20:27:28.671","5.013066"
"08/06/2026 20:27:29.679","4.148943"
"08/06/2026 20:27:30.693","5.124019"
"08/06/2026 20:27:31.710","3.759670"
"08/06/2026 20:27:32.727","6.539760"
"08/06/2026 20:27:33.734","3.034151"
"08/06/2026 20:27:34.751","6.270766"
"08/06/2026 20:27:35.758","2.655770"
"08/06/2026 20:27:36.763","5.029521"
"08/06/2026 20:27:37.768","3.748402"
"08/06/2026 20:27:38.772","4.485473"
"08/06/2026 20:27:39.783","4.540424"
"08/06/2026 20:27:40.800","5.686234"
"08/06/2026 20:27:41.810","3.427622"
"08/06/2026 20:27:42.825","4.405620"
"08/06/2026 20:27:43.837","6.379393"
"08/06/2026 20:27:44.862","3.964970"
"08/06/2026 20:27:45.874","4.864208"
"08/06/2026 20:27:46.891","3.010619"
"08/06/2026 20:27:47.895","4.806132"
"08/06/2026 20:27:48.908","2.842108"
"08/06/2026 20:27:49.920","6.836705"
"08/06/2026 20:27:50.937","3.092028"
"08/06/2026 20:27:51.940","3.616999"
"08/06/2026 20:27:52.955","3.321126"
"08/06/2026 20:27:53.959","5.491528"
"08/06/2026 20:27:54.973","3.529332"
"08/06/2026 20:27:55.987","2.890429"
